State Postal,County Name,TOTAL VOTES CAST,Party1,First name1,Last name1,Votes1,Party2,First name2,Last name2,Votes2,Median Household Income
CA,San Benito,14972,Dem,Barack,Obama,8617,GOP,Mitt,Romney,6052,"60,577"
CA,San Bernardino,531692,Dem,Barack,Obama,274203,GOP,Mitt,Romney,245468,"50,603"
CA,San Diego,928256,Dem,Barack,Obama,478386,GOP,Mitt,Romney,431046,"60,235"
CA,San Francisco,321023,Dem,Barack,Obama,267857,GOP,Mitt,Romney,42654,"72,093"
CA,San Joaquin,149587,Dem,Barack,Obama,80005,GOP,Mitt,Romney,66742,"50,431"
CA,San Luis Obispo,117597,Dem,Barack,Obama,57655,GOP,Mitt,Romney,56500,"58,427"
CA,San Mateo,211814,Dem,Barack,Obama,151036,GOP,Mitt,Romney,56244,"81,568"
CA,Santa Barbara,147249,Dem,Barack,Obama,84279,GOP,Mitt,Romney,59096,"60,683"
CA,Santa Clara,491687,Dem,Barack,Obama,343239,GOP,Mitt,Romney,136347,"91,195"
CA,Shasta,54121,Dem,Barack,Obama,18184,GOP,Mitt,Romney,34561,"44,477"
CA,Sierra,1779,Dem,Barack,Obama,652,GOP,Mitt,Romney,1056,"45,157"
CA,Siskiyou,17505,Dem,Barack,Obama,7110,GOP,Mitt,Romney,9844,"36,597"
CA,Solano,138565,Dem,Barack,Obama,87225,GOP,Mitt,Romney,48364,"61,976"
CA,Sonoma,175738,Dem,Barack,Obama,124504,GOP,Mitt,Romney,45666,"59,855"
CA,Stanislaus,143620,Dem,Barack,Obama,70609,GOP,Mitt,Romney,69549,"46,324"
CA,Sutter,20988,Dem,Barack,Obama,8004,GOP,Mitt,Romney,12576,"46,524"
CA,Tehama,17356,Dem,Barack,Obama,6032,GOP,Mitt,Romney,10791,"38,577"
CA,Trinity,5030,Dem,Barack,Obama,2367,GOP,Mitt,Romney,2422,"35,162"
CA,Tulare,72832,Dem,Barack,Obama,29191,GOP,Mitt,Romney,42186,"40,197"
CA,Tuolumne,23730,Dem,Barack,Obama,9628,GOP,Mitt,Romney,13410,"46,624"
CA,Ventura,267907,Dem,Barack,Obama,138119,GOP,Mitt,Romney,123919,"71,043"
CA,Yolo,59613,Dem,Barack,Obama,38856,GOP,Mitt,Romney,19080,"51,040"
CA,Yuba,15009,Dem,Barack,Obama,5817,GOP,Mitt,Romney,8746,"41,599"
CO,Colorado,2419698,Dem,Barack,Obama,1238490,GOP,Mitt,Romney,1125391,"40,702"
CO,Adams,161495,Dem,Barack,Obama,90843,GOP,Mitt,Romney,66531,"55,695"
CO,Alamosa,6671,Dem,Barack,Obama,3782,GOP,Mitt,Romney,2693,"37,731"
CO,Arapahoe,254746,Dem,Barack,Obama,135433,GOP,Mitt,Romney,114232,"60,525"
CO,Archuleta,6646,Dem,Barack,Obama,2637,GOP,Mitt,Romney,3831,"46,127"
CO,Baca,2096,Dem,Barack,Obama,462,GOP,Mitt,Romney,1554,"37,775"
CO,Bent,1881,Dem,Barack,Obama,778,GOP,Mitt,Romney,1053,"52,717"
CO,Boulder,173207,Dem,Barack,Obama,120485,GOP,Mitt,Romney,48526,"66,894"
CO,Broomfield,32191,Dem,Barack,Obama,16653,GOP,Mitt,Romney,14765,"81,040"
CO,Chaffee,10217,Dem,Barack,Obama,4967,GOP,Mitt,Romney,4949,"44,651"
CO,Cheyenne,1045,Dem,Barack,Obama,162,GOP,Mitt,Romney,858,"51,093"
CO,Clear Creek,5610,Dem,Barack,Obama,3041,GOP,Mitt,Romney,2381,"65,359"
CO,Conejos,4027,Dem,Barack,Obama,2180,GOP,Mitt,Romney,1794,"31,970"
CO,Costilla,1804,Dem,Barack,Obama,1317,GOP,Mitt,Romney,440,"26,075"
CO,Crowley,1502,Dem,Barack,Obama,535,GOP,Mitt,Romney,924,"30,460"
CO,Custer,2697,Dem,Barack,Obama,862,GOP,Mitt,Romney,1776,"46,744"
CO,Delta,15681,Dem,Barack,Obama,4542,GOP,Mitt,Romney,10762,"41,208"
CO,Denver,285564,Dem,Barack,Obama,209759,GOP,Mitt,Romney,69755,"50,455"
CO,Dolores,1218,Dem,Barack,Obama,329,GOP,Mitt,Romney,838,"39,254"
CO,Douglas,150160,Dem,Barack,Obama,54093,GOP,Mitt,Romney,93930,"98,426"
CO,Eagle,22374,Dem,Barack,Obama,12598,GOP,Mitt,Romney,9317,"69,870"
CO,Elbert,13993,Dem,Barack,Obama,3542,GOP,Mitt,Romney,10148,"81,528"
CO,El Paso,275604,Dem,Barack,Obama,104989,GOP,Mitt,Romney,163819,"55,312"
CO,Fremont,20258,Dem,Barack,Obama,6644,GOP,Mitt,Romney,13087,"40,809"
CO,Garfield,23695,Dem,Barack,Obama,10989,GOP,Mitt,Romney,12159,"54,088"
CO,Gilpin,3271,Dem,Barack,Obama,1854,GOP,Mitt,Romney,1320,"61,447"
CO,Grand,7961,Dem,Barack,Obama,3575,GOP,Mitt,Romney,4149,"56,191"
CO,Gunnison,7912,Dem,Barack,Obama,4563,GOP,Mitt,Romney,3106,"49,861"
CO,Hinsdale,598,Dem,Barack,Obama,228,GOP,Mitt,Romney,352,"50,177"
CO,Huerfano,3623,Dem,Barack,Obama,1897,GOP,Mitt,Romney,1615,"31,574"
CO,Kiowa,821,Dem,Barack,Obama,118,GOP,Mitt,Romney,677,"40,216"
CO,Kit Carson,3525,Dem,Barack,Obama,789,GOP,Mitt,Romney,2664,"44,059"
CO,La Plata,28475,Dem,Barack,Obama,15063,GOP,Mitt,Romney,12554,"55,888"
CO,Larimer,161823,Dem,Barack,Obama,83103,GOP,Mitt,Romney,74603,"56,132"
CO,Las Animas,6532,Dem,Barack,Obama,3282,GOP,Mitt,Romney,3105,"38,713"
CO,Mesa,69033,Dem,Barack,Obama,22448,GOP,Mitt,Romney,45087,"46,940"
CO,Mineral,650,Dem,Barack,Obama,291,GOP,Mitt,Romney,344,"47,169"
CO,Moffat,6042,Dem,Barack,Obama,1291,GOP,Mitt,Romney,4616,"57,023"
CO,Montezuma,12232,Dem,Barack,Obama,4486,GOP,Mitt,Romney,7372,"40,351"
CO,Montrose,19054,Dem,Barack,Obama,5852,GOP,Mitt,Romney,12789,"45,226"
CO,Otero,8039,Dem,Barack,Obama,3566,GOP,Mitt,Romney,4315,"35,026"
CO,Ouray,3183,Dem,Barack,Obama,1640,GOP,Mitt,Romney,1470,"61,657"
CO,Park,9054,Dem,Barack,Obama,3721,GOP,Mitt,Romney,5085,"60,731"
CO,Pitkin,9779,Dem,Barack,Obama,6648,GOP,Mitt,Romney,2941,"67,057"
CO,Prowers,4809,Dem,Barack,Obama,1498,GOP,Mitt,Romney,3200,"36,580"
CO,Pueblo,73306,Dem,Barack,Obama,40624,GOP,Mitt,Romney,31023,"41,209"
CO,Rio Blanco,3311,Dem,Barack,Obama,561,GOP,Mitt,Romney,2677,"57,922"
